Tm,theta_single,theta_double,ROE
Arizona Diamondbacks,0.8,1.0,40
Atlanta Braves,0.7,0.8,30
Baltimore Orioles,0.8,0.8,30
Boston Red Sox,0.7,0.8,30
Chicago Cubs,0.8,1.0,40
Chicago White Sox,0.7,0.8,30
Cincinnati Reds,0.8,1.0,40
Cleveland Guardians,0.8,1.0,40
Colorado Rockies,0.7,0.9,30
Detroit Tigers,0.8,1.0,40
Houston Astros,0.7,0.8,30
Kansas City Royals,0.8,1.0,40
League Average,0.7,0.9,35
Los Angeles Angels,0.7,0.9,40
Los Angeles Dodgers,0.7,0.8,30
Miami Marlins,0.8,0.8,40
Milwaukee Brewers,0.8,1.0,40
Minnesota Twins,0.8,0.8,30
New York Mets,0.8,0.8,35
New York Yankees,0.7,0.8,30
Oakland Athletics,0.7,0.8,30
Philadelphia Phillies,0.7,0.8,30
Pittsburgh Pirates,0.8,1.0,40
San Diego Padres,0.7,0.8,30
San Francisco Giants,0.8,0.8,40
Seattle Mariners,0.7,0.8,40
St. Louis Cardinals,0.7,0.8,30
Tampa Bay Rays,0.7,0.8,30
Texas Rangers,0.8,1.0,40
Toronto Blue Jays,0.7,0.8,30
Washington Nationals,0.8,0.9,30
